Time,Temperature(°C),Precipitation(mm),Cloudcover(%),Pressure(hPa),Wind Speed(km / h),Dewpoint(°C)
01 01 2018 00:00,-1.3,0,9,917.2,8.2,-2.1
01 01 2018 00:10,-1.3,0,9,917.2,8.2,-2.1
01 01 2018 00:20,-1.3,0,9,917.2,8.2,-2.1
01 01 2018 00:30,-1.3,0,9,917.2,8.2,-2.1
01 01 2018 00:40,-1.3,0,9,917.2,8.2,-2.1
01 01 2018 00:50,-1.3,0,9,917.2,8.2,-2.1
01 01 2018 01:00,-1.2,0,0,917.1,8.4,-2.3
01 01 2018 01:10,-1.2,0,0,917.1,8.4,-2.3
01 01 2018 01:20,-1.2,0,0,917.1,8.4,-2.3
01 01 2018 01:30,-1.2,0,0,917.1,8.4,-2.3
01 01 2018 01:40,-1.2,0,0,917.1,8.4,-2.3
01 01 2018 01:50,-1.2,0,0,917.1,8.4,-2.3
01 01 2018 02:00,-0.5,0,1,917.3,8.9,-2.1
01 01 2018 02:10,-0.5,0,1,917.3,8.9,-2.1
01 01 2018 02:20,-0.5,0,1,917.3,8.9,-2.1
01 01 2018 02:30,-0.5,0,1,917.3,8.9,-2.1
01 01 2018 02:40,-0.5,0,1,917.3,8.9,-2.1
01 01 2018 02:50,-0.5,0,1,917.3,8.9,-2.1
01 01 2018 03:00,2.2,0,5,918.5,10.8,-1
01 01 2018 03:10,2.2,0,5,918.5,10.8,-1
01 01 2018 03:20,2.2,0,5,918.5,10.8,-1
01 01 2018 03:30,2.2,0,5,918.5,10.8,-1
01 01 2018 03:40,2.2,0,5,918.5,10.8,-1
01 01 2018 03:50,2.2,0,5,918.5,10.8,-1
01 01 2018 04:00,4.2,0,10,919.2,9.3,-1.5
01 01 2018 04:10,4.2,0,10,919.2,9.3,-1.5
01 01 2018 04:20,4.2,0,10,919.2,9.3,-1.5
01 01 2018 04:30,4.2,0,10,919.2,9.3,-1.5
01 01 2018 04:40,4.2,0,10,919.2,9.3,-1.5
01 01 2018 04:50,4.2,0,10,919.2,9.3,-1.5
01 01 2018 05:00,5.3,0,17,919.3,8.6,-2
01 01 2018 05:10,5.3,0,17,919.3,8.6,-2
01 01 2018 05:20,5.3,0,17,919.3,8.6,-2
01 01 2018 05:30,5.3,0,17,919.3,8.6,-2
01 01 2018 05:40,5.3,0,17,919.3,8.6,-2
01 01 2018 05:50,5.3,0,17,919.3,8.6,-2
01 01 2018 06:00,6,0,10,918.9,8.2,-2.1
01 01 2018 06:10,6,0,10,918.9,8.2,-2.1
01 01 2018 06:20,6,0,10,918.9,8.2,-2.1
01 01 2018 06:30,6,0,10,918.9,8.2,-2.1
01 01 2018 06:40,6,0,10,918.9,8.2,-2.1
01 01 2018 06:50,6,0,10,918.9,8.2,-2.1
01 01 2018 07:00,6.3,0,18,918.3,7.7,-2.1
01 01 2018 07:10,6.3,0,18,918.3,7.7,-2.1
01 01 2018 07:20,6.3,0,18,918.3,7.7,-2.1
01 01 2018 07:30,6.3,0,18,918.3,7.7,-2.1
01 01 2018 07:40,6.3,0,18,918.3,7.7,-2.1
01 01 2018 07:50,6.3,0,18,918.3,7.7,-2.1
01 01 2018 08:00,6.6,0,1,918.1,7.4,-1.9
01 01 2018 08:10,6.6,0,1,918.1,7.4,-1.9
01 01 2018 08:20,6.6,0,1,918.1,7.4,-1.9
01 01 2018 08:30,6.6,0,1,918.1,7.4,-1.9
01 01 2018 08:40,6.6,0,1,918.1,7.4,-1.9
01 01 2018 08:50,6.6,0,1,918.1,7.4,-1.9
01 01 2018 09:00,6.5,0,8,917.9,5.9,-1.7
01 01 2018 09:10,6.5,0,8,917.9,5.9,-1.7
01 01 2018 09:20,6.5,0,8,917.9,5.9,-1.7
01 01 2018 09:30,6.5,0,8,917.9,5.9,-1.7
01 01 2018 09:40,6.5,0,8,917.9,5.9,-1.7
